entity,scenario,page,page_size,total_rows,returned_rows,duration_ms,benchmark_at,note
courses,Paginated course list with classes include,1,25,10000,25,27.33,2026-05-01T09:17:49.739Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 1"
courses,Paginated course list with classes include,1,25,10000,25,18.27,2026-05-01T09:17:49.757Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 2"
courses,Paginated course list with classes include,1,25,10000,25,8.01,2026-05-01T09:17:49.765Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 3"
courses,Paginated course list with classes include,100,25,10000,25,14.19,2026-05-01T09:17:49.780Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 1"
courses,Paginated course list with classes include,100,25,10000,25,14.78,2026-05-01T09:17:49.795Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 2"
courses,Paginated course list with classes include,100,25,10000,25,18.14,2026-05-01T09:17:49.813Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 3"
courses,Paginated course list with classes include,250,25,10000,25,10.92,2026-05-01T09:17:49.824Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 1"
courses,Paginated course list with classes include,250,25,10000,25,7.38,2026-05-01T09:17:49.831Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 2"
courses,Paginated course list with classes include,250,25,10000,25,7.59,2026-05-01T09:17:49.839Z,"findMany + count on 10k synthetic courses, ordered by id asc; repeat 3"
students,Paginated student list with role filter,1,25,10000,25,13.09,2026-05-01T09:17:49.864Z,"findMany + count on 10k synthetic students, select user fields only; repeat 1"
students,Paginated student list with role filter,1,25,10000,25,10.79,2026-05-01T09:17:49.875Z,"findMany + count on 10k synthetic students, select user fields only; repeat 2"
students,Paginated student list with role filter,1,25,10000,25,10.74,2026-05-01T09:17:49.886Z,"findMany + count on 10k synthetic students, select user fields only; repeat 3"
students,Paginated student list with role filter,100,25,10000,25,17.30,2026-05-01T09:17:49.903Z,"findMany + count on 10k synthetic students, select user fields only; repeat 1"
students,Paginated student list with role filter,100,25,10000,25,19.20,2026-05-01T09:17:49.922Z,"findMany + count on 10k synthetic students, select user fields only; repeat 2"
students,Paginated student list with role filter,100,25,10000,25,15.31,2026-05-01T09:17:49.938Z,"findMany + count on 10k synthetic students, select user fields only; repeat 3"
students,Paginated student list with role filter,250,25,10000,25,12.97,2026-05-01T09:17:49.951Z,"findMany + count on 10k synthetic students, select user fields only; repeat 1"
students,Paginated student list with role filter,250,25,10000,25,11.02,2026-05-01T09:17:49.962Z,"findMany + count on 10k synthetic students, select user fields only; repeat 2"
students,Paginated student list with role filter,250,25,10000,25,10.92,2026-05-01T09:17:49.973Z,"findMany + count on 10k synthetic students, select user fields only; repeat 3"
assignments,Paginated assignment list ordered by id,1,25,10000,25,19.48,2026-05-01T09:17:50.000Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 1"
assignments,Paginated assignment list ordered by id,1,25,10000,25,22.08,2026-05-01T09:17:50.022Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 2"
assignments,Paginated assignment list ordered by id,1,25,10000,25,13.41,2026-05-01T09:17:50.036Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 3"
assignments,Paginated assignment list ordered by id,100,25,10000,25,20.09,2026-05-01T09:17:50.056Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 1"
assignments,Paginated assignment list ordered by id,100,25,10000,25,18.67,2026-05-01T09:17:50.075Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 2"
assignments,Paginated assignment list ordered by id,100,25,10000,25,19.83,2026-05-01T09:17:50.094Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 3"
assignments,Paginated assignment list ordered by id,250,25,10000,25,18.01,2026-05-01T09:17:50.113Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 1"
assignments,Paginated assignment list ordered by id,250,25,10000,25,19.29,2026-05-01T09:17:50.132Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 2"
assignments,Paginated assignment list ordered by id,250,25,10000,25,17.11,2026-05-01T09:17:50.149Z,"findMany + count on 10k synthetic assignments, include class/course/submissions; repeat 3"
